Product_ID,Category,Subcategory,Fit,Color,Pattern,Material,Price,Product_Name,Rating,Description,Image_URL
P00020,Jeans,Casual,Slim Fit,Grey,Striped,Blended,1130,Grey Slim Fit Jeans,4.1,Casual Jeans with Slim Fit design in Grey. Striped pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00020.jpg
P00021,Dress,Casual,Relaxed Fit,Yellow,Printed,Rayon,3210,Yellow Relaxed Fit Dress,4.2,Casual Dress with Relaxed Fit design in Yellow. Printed pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00021.jpg
P00022,T-Shirt,Casual,Oversized,Pink,Plain,Blended,1280,Pink Oversized T-Shirt,4.2,Casual T-Shirt with Oversized design in Pink. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00022.jpg
P00023,Trousers,Formal,Relaxed Fit,Yellow,Striped,Cotton,1270,Yellow Relaxed Fit Trousers,4.3,Formal Trousers with Relaxed Fit design in Yellow. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00023.jpg
P00024,Shirt,Casual,Relaxed Fit,Black,Floral,Cotton,1730,Black Relaxed Fit Shirt,4.4,Casual Shirt with Relaxed Fit design in Black. Floral pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00024.jpg
P00025,Kurta,Party,Regular Fit,Blue,Checked,Cotton,1820,Blue Regular Fit Kurta,4.4,Party Kurta with Regular Fit design in Blue. Checked pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00025.jpg
P00026,Shirt,Formal,Relaxed Fit,Blue,Checked,Cotton,1110,Blue Relaxed Fit Shirt,3.8,Formal Shirt with Relaxed Fit design in Blue. Checked pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00026.jpg
P00027,Shirt,Formal,Relaxed Fit,Pink,Solid,Polyester,860,Pink Relaxed Fit Shirt,3.8,Formal Shirt with Relaxed Fit design in Pink. Solid pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00027.jpg
P00028,Shirt,Casual,Relaxed Fit,Brown,Plain,Linen,1440,Brown Relaxed Fit Shirt,3.9,Casual Shirt with Relaxed Fit design in Brown. Plain pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00028.jpg
P00029,Hoodie,Casual,Regular Fit,Grey,Plain,Wool,2640,Grey Regular Fit Hoodie,4.0,Casual Hoodie with Regular Fit design in Grey. Plain pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00029.jpg
P00030,Jacket,Sports,Regular Fit,Pink,Striped,Wool,5530,Pink Regular Fit Jacket,4.0,Sports Jacket with Regular Fit design in Pink. Striped pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00030.jpg
P00031,Shirt,Casual,Regular Fit,Green,Floral,Polyester,1550,Green Regular Fit Shirt,4.0,Casual Shirt with Regular Fit design in Green. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00031.jpg
P00032,Shirt,Sports,Regular Fit,Beige,Printed,Polyester,1250,Beige Regular Fit Shirt,4.1,Sports Shirt with Regular Fit design in Beige. Printed pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00032.jpg
P00033,Trousers,Formal,Relaxed Fit,Blue,Checked,Wool,2510,Blue Relaxed Fit Trousers,4.1,Formal Trousers with Relaxed Fit design in Blue. Checked pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00033.jpg
P00034,Trousers,Casual,Relaxed Fit,Beige,Solid,Cotton,1920,Beige Relaxed Fit Trousers,4.2,Casual Trousers with Relaxed Fit design in Beige. Solid pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00034.jpg
P00035,Kurta,Ethnic,Oversized,Beige,Floral,Linen,1490,Beige Oversized Kurta,4.2,Ethnic Kurta with Oversized design in Beige. Floral pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00035.jpg
P00036,Kurta,Casual,Regular Fit,Navy,Plain,Silk,3170,Navy Regular Fit Kurta,4.3,Casual Kurta with Regular Fit design in Navy. Plain pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00036.jpg
P00037,Dress,Casual,Regular Fit,Beige,Checked,Rayon,3730,Beige Regular Fit Dress,4.4,Casual Dress with Regular Fit design in Beige. Checked pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00037.jpg
P00038,Hoodie,Casual,Relaxed Fit,Brown,Plain,Blended,2030,Brown Relaxed Fit Hoodie,4.4,Casual Hoodie with Relaxed Fit design in Brown. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00038.jpg
P00039,Skirt,Party,Regular Fit,Navy,Floral,Cotton,1860,Navy Regular Fit Skirt,3.8,Party Skirt with Regular Fit design in Navy. Floral pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00039.jpg
P00040,T-Shirt,Formal,Oversized,White,Checked,Blended,540,White Oversized T-Shirt,3.8,Formal T-Shirt with Oversized design in White. Checked pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00040.jpg
P00041,Shirt,Casual,Regular Fit,Navy,Printed,Rayon,1100,Navy Regular Fit Shirt,3.9,Casual Shirt with Regular Fit design in Navy. Printed pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00041.jpg
P00042,Skirt,Casual,Regular Fit,Grey,Plain,Silk,2510,Grey Regular Fit Skirt,4.0,Casual Skirt with Regular Fit design in Grey. Plain pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00042.jpg
P00043,Hoodie,Sports,Oversized,Grey,Floral,Polyester,2220,Grey Oversized Hoodie,4.0,Sports Hoodie with Oversized design in Grey. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00043.jpg
P00044,Jeans,Sports,Relaxed Fit,Green,Solid,Denim,2350,Green Relaxed Fit Jeans,4.0,Sports Jeans with Relaxed Fit design in Green. Solid pattern made from Denim. Suitable for everyday fashion and comfortable styling.,data/product_images/P00044.jpg
P00045,Shirt,Casual,Relaxed Fit,Red,Striped,Polyester,1490,Red Relaxed Fit Shirt,4.1,Casual Shirt with Relaxed Fit design in Red. Striped pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00045.jpg
P00046,Shirt,Formal,Relaxed Fit,Red,Striped,Cotton,1930,Red Relaxed Fit Shirt,4.1,Formal Shirt with Relaxed Fit design in Red. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00046.jpg
P00047,Shirt,Sports,Relaxed Fit,Red,Striped,Cotton,610,Red Relaxed Fit Shirt,4.2,Sports Shirt with Relaxed Fit design in Red. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00047.jpg
P00048,Jacket,Casual,Relaxed Fit,Grey,Checked,Blended,2490,Grey Relaxed Fit Jacket,4.2,Casual Jacket with Relaxed Fit design in Grey. Checked pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00048.jpg
P00049,Hoodie,Casual,Oversized,Pink,Solid,Blended,1840,Pink Oversized Hoodie,4.3,Casual Hoodie with Oversized design in Pink. Solid pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00049.jpg
P00050,Dress,Casual,Regular Fit,White,Solid,Linen,2180,White Regular Fit Dress,4.4,Casual Dress with Regular Fit design in White. Solid pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00050.jpg
P00051,Skirt,Casual,Regular Fit,Black,Floral,Polyester,1050,Black Regular Fit Skirt,4.4,Casual Skirt with Regular Fit design in Black. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00051.jpg
P00052,Jeans,Casual,Slim Fit,White,Striped,Blended,870,White Slim Fit Jeans,3.8,Casual Jeans with Slim Fit design in White. Striped pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00052.jpg
P00053,Trousers,Casual,Regular Fit,Navy,Floral,Wool,3100,Navy Regular Fit Trousers,3.8,Casual Trousers with Regular Fit design in Navy. Floral pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00053.jpg
P00054,T-Shirt,Sports,Relaxed Fit,White,Floral,Polyester,770,White Relaxed Fit T-Shirt,3.9,Sports T-Shirt with Relaxed Fit design in White. Floral pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00054.jpg
P00055,Hoodie,Sports,Oversized,Pink,Plain,Blended,820,Pink Oversized Hoodie,4.0,Sports Hoodie with Oversized design in Pink. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00055.jpg
P00056,Hoodie,Sports,Regular Fit,Yellow,Plain,Blended,2000,Yellow Regular Fit Hoodie,4.0,Sports Hoodie with Regular Fit design in Yellow. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00056.jpg
P00057,Jacket,Sports,Regular Fit,Grey,Printed,Blended,3060,Grey Regular Fit Jacket,4.0,Sports Jacket with Regular Fit design in Grey. Printed pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00057.jpg
P00058,Jeans,Casual,Regular Fit,Grey,Striped,Blended,1500,Grey Regular Fit Jeans,4.1,Casual Jeans with Regular Fit design in Grey. Striped pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00058.jpg
P00059,Shirt,Sports,Relaxed Fit,Brown,Striped,Linen,710,Brown Relaxed Fit Shirt,4.1,Sports Shirt with Relaxed Fit design in Brown. Striped pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00059.jpg
P00060,Jacket,Casual,Regular Fit,Pink,Plain,Blended,2620,Pink Regular Fit Jacket,4.2,Casual Jacket with Regular Fit design in Pink. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00060.jpg
P00061,Shirt,Formal,Regular Fit,White,Plain,Blended,870,White Regular Fit Shirt,4.2,Formal Shirt with Regular Fit design in White. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00061.jpg
P00062,Dress,Party,Regular Fit,Red,Checked,Silk,4250,Red Regular Fit Dress,4.3,Party Dress with Regular Fit design in Red. Checked pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00062.jpg
P00063,Jeans,Formal,Slim Fit,Red,Printed,Blended,1040,Red Slim Fit Jeans,4.4,Formal Jeans with Slim Fit design in Red. Printed pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00063.jpg
P00064,Shirt,Casual,Regular Fit,Navy,Solid,Blended,1150,Navy Regular Fit Shirt,4.4,Casual Shirt with Regular Fit design in Navy. Solid pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00064.jpg
P00065,Shirt,Sports,Regular Fit,Red,Solid,Blended,1740,Red Regular Fit Shirt,3.8,Sports Shirt with Regular Fit design in Red. Solid pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00065.jpg
P00066,Trousers,Formal,Relaxed Fit,Pink,Solid,Cotton,1670,Pink Relaxed Fit Trousers,3.8,Formal Trousers with Relaxed Fit design in Pink. Solid pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00066.jpg
P00067,Trousers,Sports,Regular Fit,Brown,Plain,Wool,2370,Brown Regular Fit Trousers,3.9,Sports Trousers with Regular Fit design in Brown. Plain pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00067.jpg
P00068,Trousers,Formal,Relaxed Fit,Brown,Striped,Cotton,1520,Brown Relaxed Fit Trousers,4.0,Formal Trousers with Relaxed Fit design in Brown. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00068.jpg
P00069,Jeans,Casual,Relaxed Fit,Yellow,Plain,Denim,2720,Yellow Relaxed Fit Jeans,4.0,Casual Jeans with Relaxed Fit design in Yellow. Plain pattern made from Denim. Suitable for everyday fashion and comfortable styling.,data/product_images/P00069.jpg
P00070,T-Shirt,Formal,Relaxed Fit,Blue,Plain,Linen,790,Blue Relaxed Fit T-Shirt,4.0,Formal T-Shirt with Relaxed Fit design in Blue. Plain pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00070.jpg
P00071,T-Shirt,Casual,Relaxed Fit,Blue,Striped,Linen,1310,Blue Relaxed Fit T-Shirt,4.1,Casual T-Shirt with Relaxed Fit design in Blue. Striped pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00071.jpg
P00072,Skirt,Casual,Regular Fit,Navy,Printed,Cotton,1640,Navy Regular Fit Skirt,4.1,Casual Skirt with Regular Fit design in Navy. Printed pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00072.jpg
P00073,Jacket,Sports,Relaxed Fit,Beige,Checked,Cotton,3980,Beige Relaxed Fit Jacket,4.2,Sports Jacket with Relaxed Fit design in Beige. Checked pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00073.jpg
P00074,Trousers,Casual,Relaxed Fit,White,Floral,Blended,1070,White Relaxed Fit Trousers,4.2,Casual Trousers with Relaxed Fit design in White. Floral pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00074.jpg
P00075,Dress,Casual,Regular Fit,Grey,Plain,Blended,3510,Grey Regular Fit Dress,4.3,Casual Dress with Regular Fit design in Grey. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00075.jpg
P00076,Trousers,Formal,Slim Fit,Beige,Checked,Polyester,1260,Beige Slim Fit Trousers,4.4,Formal Trousers with Slim Fit design in Beige. Checked pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00076.jpg
P00077,Kurta,Casual,Oversized,Blue,Striped,Silk,3230,Blue Oversized Kurta,4.4,Casual Kurta with Oversized design in Blue. Striped pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00077.jpg
P00078,Jacket,Casual,Relaxed Fit,Red,Plain,Blended,3570,Red Relaxed Fit Jacket,3.8,Casual Jacket with Relaxed Fit design in Red. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00078.jpg
P00079,Trousers,Sports,Slim Fit,Red,Printed,Blended,1510,Red Slim Fit Trousers,3.8,Sports Trousers with Slim Fit design in Red. Printed pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00079.jpg
P00080,Dress,Casual,Regular Fit,Pink,Printed,Rayon,3240,Pink Regular Fit Dress,3.9,Casual Dress with Regular Fit design in Pink. Printed pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00080.jpg
P00081,Kurta,Ethnic,Relaxed Fit,Pink,Plain,Blended,2500,Pink Relaxed Fit Kurta,4.0,Ethnic Kurta with Relaxed Fit design in Pink. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00081.jpg
P00082,Skirt,Casual,Relaxed Fit,Pink,Checked,Linen,1010,Pink Relaxed Fit Skirt,4.0,Casual Skirt with Relaxed Fit design in Pink. Checked pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00082.jpg
P00083,Jacket,Casual,Relaxed Fit,Green,Printed,Cotton,4550,Green Relaxed Fit Jacket,4.0,Casual Jacket with Relaxed Fit design in Green. Printed pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00083.jpg
P00084,Shirt,Casual,Slim Fit,Grey,Striped,Rayon,1120,Grey Slim Fit Shirt,4.1,Casual Shirt with Slim Fit design in Grey. Striped pattern made from Rayon. Suitable for everyday fashion and comfortable styling.,data/product_images/P00084.jpg
P00085,Jeans,Sports,Relaxed Fit,Green,Solid,Blended,1510,Green Relaxed Fit Jeans,4.1,Sports Jeans with Relaxed Fit design in Green. Solid pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00085.jpg
P00086,Jeans,Formal,Regular Fit,White,Striped,Blended,2390,White Regular Fit Jeans,4.2,Formal Jeans with Regular Fit design in White. Striped pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00086.jpg
P00087,Kurta,Casual,Oversized,Grey,Printed,Silk,4660,Grey Oversized Kurta,4.2,Casual Kurta with Oversized design in Grey. Printed pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00087.jpg
P00088,Shirt,Casual,Regular Fit,Beige,Printed,Linen,600,Beige Regular Fit Shirt,4.3,Casual Shirt with Regular Fit design in Beige. Printed pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00088.jpg
P00089,Jacket,Casual,Oversized,Green,Striped,Cotton,2160,Green Oversized Jacket,4.4,Casual Jacket with Oversized design in Green. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00089.jpg
P00090,Jeans,Casual,Regular Fit,Navy,Plain,Denim,2830,Navy Regular Fit Jeans,4.4,Casual Jeans with Regular Fit design in Navy. Plain pattern made from Denim. Suitable for everyday fashion and comfortable styling.,data/product_images/P00090.jpg
P00091,Shirt,Formal,Regular Fit,Red,Checked,Cotton,1870,Red Regular Fit Shirt,3.8,Formal Shirt with Regular Fit design in Red. Checked pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00091.jpg
P00092,Skirt,Party,Relaxed Fit,Green,Striped,Polyester,1010,Green Relaxed Fit Skirt,3.8,Party Skirt with Relaxed Fit design in Green. Striped pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00092.jpg
P00093,Trousers,Formal,Regular Fit,Pink,Striped,Wool,1820,Pink Regular Fit Trousers,3.9,Formal Trousers with Regular Fit design in Pink. Striped pattern made from Wool. Suitable for everyday fashion and comfortable styling.,data/product_images/P00093.jpg
P00094,Trousers,Formal,Relaxed Fit,Yellow,Plain,Cotton,1260,Yellow Relaxed Fit Trousers,4.0,Formal Trousers with Relaxed Fit design in Yellow. Plain pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00094.jpg
P00095,Trousers,Casual,Regular Fit,Blue,Solid,Polyester,1810,Blue Regular Fit Trousers,4.0,Casual Trousers with Regular Fit design in Blue. Solid pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00095.jpg
P00096,Kurta,Ethnic,Relaxed Fit,White,Floral,Linen,2260,White Relaxed Fit Kurta,4.0,Ethnic Kurta with Relaxed Fit design in White. Floral pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00096.jpg
P00097,Jacket,Sports,Slim Fit,Grey,Floral,Cotton,3030,Grey Slim Fit Jacket,4.1,Sports Jacket with Slim Fit design in Grey. Floral pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00097.jpg
P00098,Shirt,Casual,Regular Fit,Yellow,Plain,Polyester,1590,Yellow Regular Fit Shirt,4.1,Casual Shirt with Regular Fit design in Yellow. Plain pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00098.jpg
P00099,Shirt,Casual,Relaxed Fit,White,Plain,Blended,560,White Relaxed Fit Shirt,4.2,Casual Shirt with Relaxed Fit design in White. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00099.jpg
P00100,Hoodie,Casual,Relaxed Fit,Black,Printed,Polyester,2120,Black Relaxed Fit Hoodie,4.2,Casual Hoodie with Relaxed Fit design in Black. Printed pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00100.jpg
P00101,Dress,Casual,Regular Fit,Red,Solid,Linen,2380,Red Regular Fit Dress,4.3,Casual Dress with Regular Fit design in Red. Solid pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00101.jpg
P00102,Jacket,Sports,Slim Fit,Beige,Checked,Cotton,3500,Beige Slim Fit Jacket,4.4,Sports Jacket with Slim Fit design in Beige. Checked pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00102.jpg
P00103,Shirt,Formal,Relaxed Fit,Black,Solid,Linen,1470,Black Relaxed Fit Shirt,4.4,Formal Shirt with Relaxed Fit design in Black. Solid pattern made from Linen. Suitable for everyday fashion and comfortable styling.,data/product_images/P00103.jpg
P00104,Hoodie,Casual,Oversized,Blue,Striped,Cotton,1740,Blue Oversized Hoodie,3.8,Casual Hoodie with Oversized design in Blue. Striped pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00104.jpg
P00105,Jacket,Casual,Slim Fit,Yellow,Printed,Cotton,3630,Yellow Slim Fit Jacket,3.8,Casual Jacket with Slim Fit design in Yellow. Printed pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00105.jpg
P00106,Jeans,Formal,Regular Fit,Grey,Floral,Blended,2030,Grey Regular Fit Jeans,3.9,Formal Jeans with Regular Fit design in Grey. Floral pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00106.jpg
P00107,Jeans,Casual,Regular Fit,White,Plain,Blended,2670,White Regular Fit Jeans,4.0,Casual Jeans with Regular Fit design in White. Plain pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00107.jpg
P00108,Dress,Casual,Regular Fit,Pink,Printed,Polyester,1220,Pink Regular Fit Dress,4.0,Casual Dress with Regular Fit design in Pink. Printed pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00108.jpg
P00109,Skirt,Party,Regular Fit,Black,Striped,Silk,2360,Black Regular Fit Skirt,4.0,Party Skirt with Regular Fit design in Black. Striped pattern made from Silk. Suitable for everyday fashion and comfortable styling.,data/product_images/P00109.jpg
P00110,T-Shirt,Casual,Oversized,Green,Printed,Polyester,900,Green Oversized T-Shirt,4.1,Casual T-Shirt with Oversized design in Green. Printed pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00110.jpg
P00111,Jeans,Sports,Relaxed Fit,Beige,Checked,Blended,2250,Beige Relaxed Fit Jeans,4.1,Sports Jeans with Relaxed Fit design in Beige. Checked pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00111.jpg
P00112,Trousers,Casual,Relaxed Fit,Brown,Checked,Polyester,1710,Brown Relaxed Fit Trousers,4.2,Casual Trousers with Relaxed Fit design in Brown. Checked pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00112.jpg
P00113,T-Shirt,Sports,Relaxed Fit,Pink,Printed,Blended,680,Pink Relaxed Fit T-Shirt,4.2,Sports T-Shirt with Relaxed Fit design in Pink. Printed pattern made from Blended. Suitable for everyday fashion and comfortable styling.,data/product_images/P00113.jpg
P00114,Hoodie,Sports,Regular Fit,Red,Printed,Cotton,1410,Red Regular Fit Hoodie,4.3,Sports Hoodie with Regular Fit design in Red. Printed pattern made from Cotton. Suitable for everyday fashion and comfortable styling.,data/product_images/P00114.jpg
P00115,T-Shirt,Formal,Oversized,Black,Printed,Polyester,310,Black Oversized T-Shirt,4.4,Formal T-Shirt with Oversized design in Black. Printed pattern made from Polyester. Suitable for everyday fashion and comfortable styling.,data/product_images/P00115.jpg
